Stations,LAT,LON,Eng_Location
代田橋駅,35.67107,139.6594,"Japan, Tōkyō-to, 代田橋駅"
新宿駅,35.68974,139.7004,"Shinjuku Station, 3 Chome Shinjuku, Shinjuku City, Tokyo 160-0022, Japan"
西新宿駅,35.694378,139.69288999999998,"Nishi-Shinjuku Station, Japan"
下井草駅,35.72387,139.6247,"Japan, 〒167-0022 Tōkyō-to, Suginami City, Shimoigusa, 2-chōme, 下井草"
東新宿駅,35.69793,139.70741,"Higashi-Shinjuku Station, 7 Chome-27-11 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan"
東大島駅,35.689907,139.8475,"Higashi-Ojima Station, Japan"
牛込神楽坂駅,35.70086,139.73587,"Ushigome-Kagurazaka Station, Japan"
平和島駅,35.578693,139.73494,"Heiwajima Station, 6-chōme Ōmorikita, Ota City, Tōkyō-to 143-0016, Japan"
本郷三丁目駅,35.707497,139.76131999999998,"Hongo-sanchome Station, Japan"
大森海岸駅,35.587555,139.73532,"Japan, Tōkyō-to, 大森海岸"
西早稲田駅,35.707645,139.709,"Nishi-Waseda Station, 2 Chome-20-10 Nishiwaseda, Shinjuku City, Tokyo 169-0051, Japan"
御茶ノ水駅,35.699387,139.76523999999998,"Ochanomizu Station, 2 Chome Kanda Surugadai, Chiyoda City, Tokyo, Japan"
二子玉川駅,35.611484999999995,139.62646,"Futako-Tamagawa Station, 2 Chome-22-13 Tamagawa, Setagaya City, Tokyo, Japan"
尾山台駅,35.606976,139.6539,"Oyamadai Station, Japan"
半蔵門駅,35.685375,139.74165,"Hanzomon Station, Japan"
要町駅,35.733146999999995,139.69849,"Kanamecho, Toshima City, Tōkyō-to, Japan"
豊洲駅,35.65374,139.79546000000002,"Toyosu Sta., Japan"
南千住駅,35.73332,139.79906,"Minami-Senju Station, ４-５-2 南千住 荒川区 東京都 116-0003, Japan"
蓮根駅,35.7842,139.67902,"Renkon, Itabashi City, Tōkyō-to, Japan"
田原町駅,35.709804999999996,139.79076,"Tawaramachi Station, 1 Chome-1-18 Nishiasakusa, Taito City, Tokyo 111-0035, Japan"
馬喰横山駅,35.691963,139.78297,"Bakuroyokoyama Station, 4-13 Nihonbashiyokoyamacho, Chuo City, Tokyo 103-0003, Japan"
東十条駅,35.76395,139.72687,"Higashi-Jujo Station, Japan"
矢口渡駅,35.562447,139.70033,"Japan, 〒146-0095 Tōkyō-to, Ota City, Tamagawa, 1-chōme, 矢口渡"
立会川駅,35.59847,139.73893999999999,"Japan, Tōkyō-to, Shinagawa City, 立会川"
喜多見駅,35.636547,139.58725,"Kitami Station, Japan"
市ヶ谷駅,35.691013,139.73557,"Japan, 〒102-0076 Tokyo, Chiyoda City, Gobancho, 千代田 区 九段 南 ４ 丁目 新宿 区 市谷 田町 １ 丁目 Ichigaya Station"
六町駅,35.784896999999994,139.82164,"Rokucho Station, 4 Chome-4-18 Rokucho, Adachi City, Tokyo 121-0073, Japan"
本所吾妻橋駅,35.708607,139.80456999999998,"Honjo-Azumabashi Station, Japan"
三ノ輪駅,35.729626,139.79137,"Minowa Station, ５丁目-１９-6 根岸 台東区 東京都 110-0003, Japan"
六郷土手駅,35.54053,139.70758,"Japan, Tōkyō-to, Ota City, 六郷土手"
北赤羽駅,35.786625,139.70616,"Kita-Akabane Station, Japan"
蔵前駅,35.705193,139.79321000000002,"Kuramae Station, 2 Chome-3-１ Kuramae, Taito City, Tokyo 111-0051, Japan"
田園調布駅,35.596863,139.66733,"Japan, 〒145-0071 Tokyo, Ota City, 田園調布 3 丁目 25-18 Den-enchofu Station"
鵜の木駅,35.5755,139.68062,"Unoki Station, ２丁目-４-1 鵜の木 大田区 東京都 146-0091, Japan"
都立家政駅,35.722366,139.64455,"Toritsukasei Station, Japan"
