,Stations,LAT,LON,ShinjukuMade,ShinjukuDist,TokyoMade,TokyoDist,ShibuyaMade,ShibuyaDist,IkebukuroMade,IkebukuroDist,UenoMade,UenoDist,ShinagawaMade,ShinagawaDist,Lat_Lon
115,五反野駅,35.76617,139.80928,30.016666666666666,20.0 km,19.716666666666665,14.4 km,32.516666666666666,23.4 km,21.93333333333333,14.9 km,19.816666666666666,7.2 km,29.38333333333333,20.9 km,"35.76617, 139.80928"
116,初台駅,35.680984,139.68618999999998,6.933333333333334,2.7 km,21.15,12.9 km,14.083333333333336,4.4 km,18.58333333333333,8.4 km,34.68333333333333,11.5 km,27.11666666666667,18.3 km,"35.680984, 139.68618999999998"
117,西新井駅,35.77717600000001,139.79041999999998,34.15,20.0 km,33.0,13.4 km,36.65,23.3 km,26.066666666666666,14.9 km,25.4,8.7 km,40.91666666666666,19.7 km,"35.77717600000001, 139.79041999999998"
118,田端駅,35.73816,139.76082,32.2,9.2 km,25.466666666666665,7.2 km,30.93333333333333,18.2 km,22.78333333333333,10.8 km,15.916666666666664,4.3 km,32.56666666666667,15.7 km,"35.73816, 139.76082"
119,赤羽駅,35.777695,139.72057,27.86666666666667,13.6 km,25.98333333333333,16.3 km,30.36666666666667,17.0 km,19.78333333333333,8.5 km,32.21666666666667,10.2 km,35.4,23.3 km,"35.777695, 139.72057"
120,地下鉄赤塚駅,35.769978,139.64403000000001,30.83333333333333,17.7 km,28.95,20.3 km,33.333333333333336,21.0 km,24.15,8.2 km,33.7,19.0 km,38.36666666666667,27.4 km,"35.769978, 139.64403"
121,荻窪駅,35.7045,139.61906000000002,24.66666666666667,7.6 km,32.61666666666667,20.1 km,32.31666666666667,13.3 km,36.31666666666667,13.2 km,41.0,24.3 km,43.53333333333333,24.0 km,"35.7045, 139.61906000000002"
122,東長崎駅,35.729954,139.68323999999998,20.383333333333333,5.2 km,34.666666666666664,10.9 km,32.4,10.3 km,13.783333333333333,3.1 km,32.53333333333333,10.2 km,36.516666666666666,21.2 km,"35.729954, 139.68323999999998"
123,京成小岩駅,35.742207,139.88359,43.38333333333333,28.9 km,31.16666666666667,18.9 km,41.48333333333333,29.2 km,37.96666666666667,26.2 km,34.93333333333333,16.1 km,40.833333333333336,25.4 km,"35.742207, 139.88359"
124,芦花公園駅,35.670544,139.60823,20.53333333333333,9.2 km,28.23333333333333,18.3 km,23.816666666666666,12.1 km,25.95,15.7 km,31.516666666666666,23.9 km,34.05,23.6 km,"35.670544, 139.60823"
